V,I
1.367674e-14,2.500000e-06
4.526861e-14,5.000000e-06
1.109566e-13,7.500000e-06
2.136628e-13,1.000000e-05
3.179916e-13,1.250000e-05
3.318949e-13,1.500000e-05
1.568358e-13,1.750000e-05
-1.437868e-13,2.000000e-05
-2.148242e-13,2.250000e-05
2.425827e-13,2.500000e-05
7.003461e-13,2.750000e-05
2.196834e-13,3.000000e-05
-3.610871e-13,3.250000e-05
5.396361e-13,3.500000e-05
6.792498e-13,3.750000e-05
-4.707368e-13,4.000000e-05
9.493945e-13,4.250000e-05
1.438115e-15,4.500000e-05
4.088431e-13,4.750000e-05
3.871909e-13,5.000000e-05
5.582512e-13,5.250000e-05
-3.054975e-13,5.500000e-05
1.842086e-12,5.750000e-05
-7.640821e-13,6.000000e-05
-4.710703e-13,6.250000e-05
2.055753e-12,6.500000e-05
2.742652e-12,6.750000e-05
2.379589e-12,7.000000e-05
2.648150e-12,7.250000e-05
3.710700e-12,7.500000e-05
1.805825e-12,7.750000e-05
-3.002162e-12,8.000000e-05
4.612330e-12,8.250000e-05
1.159535e-12,8.500000e-05
6.175597e-13,8.750000e-05
5.850901e-12,9.000000e-05
8.422064e-12,9.250000e-05
4.753119e-12,9.500000e-05
-9.011995e-12,9.750000e-05
2.809608e-03,1.000000e-04
2.813046e-03,1.025000e-04
2.816072e-03,1.050000e-04
2.819794e-03,1.075000e-04
2.821828e-03,1.100000e-04
2.825203e-03,1.125000e-04
2.828580e-03,1.150000e-04
2.831760e-03,1.175000e-04
2.835425e-03,1.200000e-04
2.838579e-03,1.225000e-04
2.842918e-03,1.250000e-04
2.847041e-03,1.275000e-04
2.852165e-03,1.300000e-04
2.855299e-03,1.325000e-04
2.860004e-03,1.350000e-04
2.864691e-03,1.375000e-04
2.869586e-03,1.400000e-04
2.874769e-03,1.425000e-04
2.880183e-03,1.450000e-04
2.885291e-03,1.475000e-04
2.890914e-03,1.500000e-04
2.896444e-03,1.525000e-04
2.902179e-03,1.550000e-04
2.908591e-03,1.575000e-04
2.914912e-03,1.600000e-04
2.921441e-03,1.625000e-04
2.927903e-03,1.650000e-04
2.935473e-03,1.675000e-04
2.943127e-03,1.700000e-04
2.954047e-03,1.725000e-04
2.953988e-03,1.750000e-04
2.964757e-03,1.775000e-04
2.973488e-03,1.800000e-04
2.983557e-03,1.825000e-04
2.994441e-03,1.850000e-04
3.008110e-03,1.875000e-04
3.033742e-03,1.900000e-04
3.073742e-03,1.925000e-04
3.114031e-03,1.950000e-04
3.154123e-03,1.975000e-04
3.194178e-03,2.000000e-04
3.234203e-03,2.025000e-04
3.274241e-03,2.050000e-04
3.314392e-03,2.075000e-04
3.354490e-03,2.100000e-04
3.394513e-03,2.125000e-04
3.434567e-03,2.150000e-04
3.474586e-03,2.175000e-04
3.514587e-03,2.200000e-04
3.554596e-03,2.225000e-04
3.594626e-03,2.250000e-04
3.634675e-03,2.275000e-04
3.674740e-03,2.300000e-04
3.714790e-03,2.325000e-04
3.754825e-03,2.350000e-04
3.794851e-03,2.375000e-04
3.834861e-03,2.400000e-04
3.874876e-03,2.425000e-04
3.914888e-03,2.450000e-04
3.954920e-03,2.475000e-04
3.994950e-03,2.500000e-04
4.034979e-03,2.525000e-04
4.075007e-03,2.550000e-04
4.115019e-03,2.575000e-04
4.155027e-03,2.600000e-04
4.195020e-03,2.625000e-04
4.235012e-03,2.650000e-04
4.275006e-03,2.675000e-04
4.315007e-03,2.700000e-04
4.355010e-03,2.725000e-04
4.395020e-03,2.750000e-04
4.435030e-03,2.775000e-04
4.475030e-03,2.800000e-04
4.515022e-03,2.825000e-04
4.555006e-03,2.850000e-04
4.594994e-03,2.875000e-04
4.634983e-03,2.900000e-04
4.674990e-03,2.925000e-04
4.715012e-03,2.950000e-04
4.755012e-03,2.975000e-04
4.795021e-03,3.000000e-04
4.754994e-03,2.975000e-04
4.715021e-03,2.950000e-04
4.675014e-03,2.925000e-04
4.634978e-03,2.900000e-04
4.594991e-03,2.875000e-04
4.555038e-03,2.850000e-04
4.515051e-03,2.825000e-04
4.475026e-03,2.800000e-04
4.435030e-03,2.775000e-04
4.395071e-03,2.750000e-04
4.355079e-03,2.725000e-04
4.315029e-03,2.700000e-04
4.274996e-03,2.675000e-04
4.235013e-03,2.650000e-04
4.195011e-03,2.625000e-04
4.154955e-03,2.600000e-04
4.114924e-03,2.575000e-04
4.074964e-03,2.550000e-04
4.034988e-03,2.525000e-04
3.994952e-03,2.500000e-04
3.954920e-03,2.475000e-04
3.914947e-03,2.450000e-04
3.874971e-03,2.425000e-04
3.834917e-03,2.400000e-04
3.794835e-03,2.375000e-04
3.754813e-03,2.350000e-04
3.714816e-03,2.325000e-04
3.674746e-03,2.300000e-04
3.634649e-03,2.275000e-04
3.594640e-03,2.250000e-04
3.554679e-03,2.225000e-04
3.514636e-03,2.200000e-04
3.474550e-03,2.175000e-04
3.434533e-03,2.150000e-04
3.394550e-03,2.125000e-04
3.354481e-03,2.100000e-04
3.314328e-03,2.075000e-04
3.274229e-03,2.050000e-04
3.234203e-03,2.025000e-04
3.194107e-03,2.000000e-04
3.153941e-03,1.975000e-04
3.113885e-03,1.950000e-04
3.073902e-03,1.925000e-04
3.033827e-03,1.900000e-04
3.008159e-03,1.875000e-04
2.994403e-03,1.850000e-04
2.983800e-03,1.825000e-04
2.973411e-03,1.800000e-04
2.964551e-03,1.775000e-04
2.954079e-03,1.750000e-04
2.953985e-03,1.725000e-04
2.943096e-03,1.700000e-04
2.935443e-03,1.675000e-04
2.927877e-03,1.650000e-04
2.921682e-03,1.625000e-04
2.914917e-03,1.600000e-04
2.908709e-03,1.575000e-04
2.902261e-03,1.550000e-04
2.896445e-03,1.525000e-04
2.890927e-03,1.500000e-04
2.885293e-03,1.475000e-04
2.880191e-03,1.450000e-04
2.874923e-03,1.425000e-04
2.869575e-03,1.400000e-04
2.864634e-03,1.375000e-04
2.860106e-03,1.350000e-04
2.855327e-03,1.325000e-04
2.852209e-03,1.300000e-04
2.847089e-03,1.275000e-04
2.842842e-03,1.250000e-04
2.838530e-03,1.225000e-04
2.835419e-03,1.200000e-04
2.831778e-03,1.175000e-04
2.828637e-03,1.150000e-04
2.825184e-03,1.125000e-04
2.821838e-03,1.100000e-04
2.819792e-03,1.075000e-04
2.816067e-03,1.050000e-04
2.813038e-03,1.025000e-04
2.809533e-03,1.000000e-04
2.807061e-03,9.750000e-05
2.803539e-03,9.500000e-05
2.800152e-03,9.250000e-05
2.796647e-03,9.000000e-05
2.793761e-03,8.750000e-05
2.789429e-03,8.500000e-05
2.786268e-03,8.250000e-05
2.782278e-03,8.000000e-05
2.778293e-03,7.750000e-05
2.773259e-03,7.500000e-05
2.767986e-03,7.250000e-05
2.762353e-03,7.000000e-05
2.757074e-03,6.750000e-05
2.752763e-03,6.500000e-05
2.747218e-03,6.250000e-05
2.742058e-03,6.000000e-05
2.736722e-03,5.750000e-05
2.729950e-03,5.500000e-05
2.722931e-03,5.250000e-05
2.716996e-03,5.000000e-05
2.712351e-03,4.750000e-05
2.704719e-03,4.500000e-05
2.696797e-03,4.250000e-05
2.688258e-03,4.000000e-05
2.679472e-03,3.750000e-05
2.670289e-03,3.500000e-05
2.660617e-03,3.250000e-05
2.650658e-03,3.000000e-05
2.640043e-03,2.750000e-05
2.628846e-03,2.500000e-05
2.616593e-03,2.250000e-05
2.603423e-03,2.000000e-05
2.586770e-03,1.750000e-05
2.367845e-03,1.500000e-05
1.966146e-03,1.250000e-05
1.555829e-03,1.000000e-05
1.115379e-03,7.500000e-06
-8.347495e-10,5.000000e-06
-3.015098e-11,2.500000e-06
